hour,full_count,evtol_count,share,share_weekday,share_weekend
0,65451,2367,0.03616445890819086,0.03669342994223049,0.03528598723525347
1,43904,1576,0.035896501457725945,0.034825311141100615,0.037555142790805664
2,30497,1091,0.03577401055841558,0.03452406883032019,0.03766586994148191
3,20750,706,0.03402409638554217,0.032819166393173616,0.035739313244569026
4,15454,865,0.055972563737543675,0.0592407175636212,0.05063075349471531
5,25244,2337,0.09257645381080652,0.0994255161822422,0.07686284744877984
6,62984,5265,0.08359265845294044,0.08489341207019308,0.07951411687458963
7,180422,9520,0.05276518384675927,0.052245434644248454,0.054749886494137756
8,262688,11885,0.04524378730661469,0.044439511010940964,0.048247274038028296
9,229739,12549,0.05462285463068961,0.05510420142924544,0.05312740208433886
10,193192,11196,0.057952710257153504,0.059411837336490345,0.054333531499396494
11,190117,10603,0.055770920012413405,0.05813970975261298,0.050256446163810455
12,202981,11923,0.05873948793236805,0.06203704360030338,0.05122447660894288
13,198737,12244,0.0616090612216145,0.06500624094345848,0.053627707086879584
14,199252,11983,0.06013992331319134,0.06297589740653804,0.05348141676187916
15,198919,12042,0.06053720358537897,0.06401891387230296,0.05209230239366282
16,200888,12278,0.0611186332682888,0.06493989430551285,0.0523660546100801
17,244156,11778,0.048239650059797835,0.04963193269626446,0.04471873735329826
18,229141,9558,0.04171230814214828,0.04321105847328339,0.03810345340432494
19,212697,8426,0.03961503923421581,0.0412381514996912,0.03582131705709758
20,216020,9164,0.04242199796315156,0.04388404681142007,0.039052819971547886
21,181820,8436,0.04639753602463975,0.0484607511219589,0.04161649334063127
22,137624,6773,0.04921379991861884,0.05100028176951254,0.04511853783402311
23,94968,4134,0.043530452362901186,0.04554655870445344,0.039112903225806454
