scenario_idx,raw_total,per_day_total_mass,nz_ratio,gen_max,gen_mean,per_day_row_ks,per_day_col_ks,raw_row_ks,raw_col_ks,top20_overlap,top20_vs_top50,entropy,total_mass_ratio_raw,per_day_total_mass_ratio
0,461292.0,41935.63636363636,0.18334282662869347,1147,1.6421929512281952,0.09056603773584904,0.07547169811320753,0.8,0.8169811320754717,12,20,9.880500592325202,12.232617342879873,1.1120561220799883
1,466446.0,42404.181818181816,0.18334282662869347,1209,1.6605411178355287,0.09811320754716979,0.06981132075471702,0.8,0.8150943396226416,13,20,9.868087941038134,12.369291964996023,1.1244810877269111
2,465841.0,42349.181818181816,0.18334282662869347,1168,1.658387326450694,0.09056603773584904,0.07358490566037734,0.8037735849056604,0.8188679245283019,12,20,9.877223976719234,12.353248475205516,1.123022588655047
3,469888.0,42717.09090909091,0.18334282662869347,1173,1.6727945888216447,0.09245283018867922,0.07924528301886796,0.8075471698113208,0.8207547169811321,12,20,9.888285214824732,12.46056748872978,1.1327788626117983
4,465666.0,42333.27272727273,0.18334282662869347,1179,1.6577643289426842,0.09245283018867922,0.07547169811320759,0.8037735849056604,0.8188679245283019,13,20,9.88754732919974,12.348607796340493,1.1226007087582266
5,466469.0,42406.27272727273,0.18334282662869347,1160,1.66062299750801,0.0962264150943396,0.07924528301886796,0.8037735849056604,0.8226415094339623,13,20,9.902002470070846,12.36990188278971,1.1245365347990646
6,462270.0,42024.545454545456,0.18334282662869347,1117,1.6456746173015309,0.08867924528301885,0.07735849056603777,0.8018867924528302,0.8207547169811321,12,20,9.892690895603986,12.258552108194113,1.1144138280176468
7,466469.0,42406.27272727273,0.18334282662869347,1160,1.66062299750801,0.0962264150943396,0.07924528301886796,0.8037735849056604,0.8226415094339623,13,20,9.902002470070846,12.36990188278971,1.1245365347990646
8,476020.0,43274.545454545456,0.16428978284086865,1205,1.694624421502314,0.09811320754716979,0.07735849056603777,0.8056603773584906,0.8226415094339623,12,20,9.832339695128239,12.62317687616017,1.1475615341963792
9,463558.0,42141.63636363636,0.16409754360982556,1201,1.650259878960484,0.09056603773584904,0.07169811320754721,0.8056603773584906,0.8207547169811321,12,20,9.820327939498231,12.29270750464068,1.1175188640582434
10,459026.0,41729.63636363636,0.16278390886436453,1093,1.634126023495906,0.08679245283018866,0.06792452830188678,0.8075471698113208,0.8169811320754717,13,20,9.820196437928537,12.172527181119067,1.1065933801017331
11,462224.0,42020.36363636364,0.16409754360982556,1215,1.6455108579565683,0.09245283018867922,0.06792452830188683,0.8018867924528302,0.8113207547169812,13,20,9.795491254973216,12.257332272606735,1.1143029338733397
12,464831.0,42257.36363636364,0.18334282662869347,1098,1.6547917408330366,0.09056603773584904,0.07547169811320753,0.8037735849056604,0.8207547169811321,12,20,9.88861134561953,12.3264651286131,1.1205877389648273
13,478054.0,43459.454545454544,0.16456746173015308,1165,1.7018654325382698,0.10000000000000003,0.09056603773584909,0.8113207547169812,0.8245283018867925,11,19,9.811362693549887,12.677114823654204,1.152464983968564
